participant_id,age,sex,handedness
A00063455,66,MALE,RIGHT
A00063458,82,MALE,RIGHT
A00063470,75,MALE,RIGHT
A00063473,73,FEMALE,RIGHT
A00063479,75,FEMALE,RIGHT
A00063481,53,FEMALE,RIGHT
A00063589,24,MALE,RIGHT
A00064053,52,FEMALE,RIGHT
A00064061,74,FEMALE,RIGHT
A00064081,44,FEMALE,RIGHT
A00064323,65,MALE,RIGHT
A00064328,69,FEMALE,RIGHT
A00064415,48,MALE,RIGHT
A00064416,17,FEMALE,LEFT
A00064418,11,FEMALE,RIGHT
A00064503,12,MALE,RIGHT
A00064505,15,MALE,RIGHT
A00064507,10,MALE,RIGHT
A00064580,25,MALE,RIGHT
A00064596,12,MALE,RIGHT
A00064597,10,FEMALE,RIGHT
A00065178,10,MALE,RIGHT
A00065185,6,MALE,RIGHT
A00065197,18,MALE,RIGHT
A00065250,10,MALE,RIGHT
A00065261,9,MALE,LEFT
A00065262,13,FEMALE,LEFT
A00065263,12,MALE,RIGHT
A00065302,70,FEMALE,RIGHT
A00065379,42,MALE,RIGHT
A00065478,54,FEMALE,RIGHT
A00065480,45,FEMALE,LEFT
A00065487,42,FEMALE,RIGHT
A00065565,84,MALE,RIGHT
A00065572,54,FEMALE,RIGHT
A00065574,23,MALE,RIGHT
A00065617,23,MALE,RIGHT
A00065717,61,MALE,RIGHT
A00065722,59,MALE,RIGHT
A00065743,51,FEMALE,LEFT
A00065749,60,MALE,LEFT
A00065750,8,MALE,RIGHT
A00065790,23,FEMALE,LEFT
A00065792,7,FEMALE,RIGHT
A00065802,14,MALE,RIGHT
A00065820,9,MALE,RIGHT
A00065865,81,MALE,RIGHT
A00065873,52,FEMALE,RIGHT
A00065934,17,MALE,RIGHT
A00065935,42,FEMALE,RIGHT
A00065941,15,MALE,RIGHT
A00065974,44,FEMALE,RIGHT
A00065991,43,FEMALE,RIGHT
A00065992,7,FEMALE,RIGHT
A00065995,45,MALE,LEFT
A00066013,50,FEMALE,RIGHT
A00066087,22,MALE,RIGHT
A00066091,22,MALE,RIGHT
A00066130,75,FEMALE,RIGHT
A00066153,21,MALE,RIGHT
A00066154,53,FEMALE,RIGHT
A00066162,52,FEMALE,RIGHT
A00066232,23,MALE,RIGHT
A00066236,33,MALE,RIGHT
A00066237,53,FEMALE,RIGHT
A00066245,49,FEMALE,RIGHT
A00066246,22,MALE,RIGHT
A00066282,38,FEMALE,RIGHT
A00066302,57,FEMALE,RIGHT
A00066314,13,MALE,RIGHT
A00066319,23,FEMALE,RIGHT
A00066389,69,FEMALE,LEFT
A00066396,14,MALE,RIGHT
A00066419,53,FEMALE,RIGHT
A00066460,65,MALE,RIGHT
A00066534,8,MALE,LEFT
A00066539,60,MALE,RIGHT
A00066572,14,FEMALE,RIGHT
A00066573,7,MALE,RIGHT
A00066580,9,FEMALE,RIGHT
A00066581,12,MALE,RIGHT
A00066582,14,FEMALE,RIGHT
A00066584,17,MALE,RIGHT
A00066589,13,FEMALE,RIGHT
A00066697,10,FEMALE,RIGHT
A00066698,10,FEMALE,RIGHT
A00066735,22,MALE,RIGHT
A00066781,27,MALE,RIGHT
A00066784,12,FEMALE,RIGHT
A00066788,39,FEMALE,RIGHT
A00066800,48,FEMALE,RIGHT
A00066812,23,MALE,RIGHT
A00066820,75,FEMALE,RIGHT
A00066822,26,FEMALE,RIGHT
A00066827,26,FEMALE,RIGHT
A00066831,73,FEMALE,RIGHT
A00066860,7,FEMALE,RIGHT
A00066864,58,FEMALE,RIGHT
A00066865,36,FEMALE,RIGHT
A00066871,46,FEMALE,RIGHT
A00066926,23,MALE,RIGHT
A00067174,67,MALE,RIGHT
A00072203,23,FEMALE,RIGHT
A00073230,59,FEMALE,RIGHT
A00073283,42,FEMALE,RIGHT
A00073296,74,FEMALE,RIGHT
A00073308,74,MALE,LEFT
A00073525,52,FEMALE,RIGHT
A00073529,54,FEMALE,RIGHT
A00073545,7,FEMALE,RIGHT
A00073600,22,FEMALE,RIGHT
A00073611,64,FEMALE,RIGHT
A00073677,44,FEMALE,RIGHT
A00073705,78,FEMALE,RIGHT
A00073942,62,FEMALE,RIGHT
A00073953,69,FEMALE,RIGHT
A00074000,30,MALE,LEFT
A00074034,10,FEMALE,RIGHT
A00018030,11,FEMALE,LEFT
A00027159,11,MALE,RIGHT
A00027167,14,FEMALE,RIGHT
A00027439,15,MALE,RIGHT
A00028185,26,MALE,RIGHT
A00028352,23,FEMALE,RIGHT
A00031578,10,FEMALE,RIGHT
A00031881,15,MALE,RIGHT
A00033714,15,MALE,RIGHT
A00033747,26,FEMALE,RIGHT
A00034350,11,MALE,RIGHT
A00034854,21,FEMALE,RIGHT
A00035072,36,FEMALE,RIGHT
A00035291,13,FEMALE,RIGHT
A00035292,11,MALE,RIGHT
A00035364,12,MALE,RIGHT
A00035377,15,FEMALE,LEFT
A00035561,11,MALE,RIGHT
A00035827,36,MALE,RIGHT
A00035840,25,FEMALE,RIGHT
A00035940,16,MALE,RIGHT
A00035945,13,MALE,RIGHT
A00037112,35,FEMALE,RIGHT
A00037511,31,MALE,RIGHT
A00037848,32,MALE,RIGHT
A00038998,26,MALE,RIGHT
A00039277,27,FEMALE,RIGHT
A00039488,27,MALE,LEFT
A00043520,28,MALE,AMBIDEXTEROUS
A00043722,28,MALE,AMBIDEXTEROUS
A00051691,6,MALE,RIGHT
A00056020,6,MALE,RIGHT
A00039943,15,MALE,RIGHT
A00040117,6,MALE,RIGHT
A00040815,9,MALE,RIGHT
A00052182,12,MALE,RIGHT
A00052237,17,FEMALE,RIGHT
A00053171,8,MALE,AMBIDEXTEROUS
A00055693,8,FEMALE,LEFT
A00055806,30,FEMALE,RIGHT
A00056306,37,FEMALE,RIGHT
A00056307,8,FEMALE,RIGHT
A00056746,8,MALE,RIGHT
A00057480,10,MALE,LEFT
A00059326,8,MALE,RIGHT
A00060632,33,MALE,RIGHT
A00060846,13,FEMALE,LEFT
A00041049,58,FEMALE,RIGHT
A00039819,24,MALE,RIGHT
A00073330,35,FEMALE,n/a
A00062085,8,MALE,LEFT
A00050721,46,FEMALE,LEFT
A00044307,21,MALE,RIGHT
A00040383,52,FEMALE,LEFT
A00040301,23,FEMALE,LEFT
A00038616,29,MALE,RIGHT
A00038605,20,FEMALE,RIGHT
A00035608,24,MALE,RIGHT
A00032008,6,FEMALE,RIGHT
A00031683,51,MALE,LEFT
A00031605,39,FEMALE,RIGHT
A00031219,17,FEMALE,RIGHT
A00029126,34,MALE,RIGHT
A00029075,71,MALE,RIGHT
A00028606,22,MALE,RIGHT
A00028605,59,MALE,LEFT
A00028552,61,FEMALE,RIGHT
A00028522,84,MALE,LEFT
A00023510,23,MALE,RIGHT
A00010893,28,MALE,RIGHT
