participant_id,age,sex,handedness
A00037635,59,MALE,RIGHT
A00037646,53,FEMALE,RIGHT
A00037647,24,FEMALE,RIGHT
A00037725,30,MALE,RIGHT
A00037726,56,FEMALE,RIGHT
A00037767,54,FEMALE,RIGHT
A00037768,41,FEMALE,RIGHT
A00037783,38,MALE,RIGHT
A00037784,41,MALE,RIGHT
A00037817,55,FEMALE,RIGHT
A00037818,74,MALE,RIGHT
A00037831,49,FEMALE,RIGHT
A00037866,37,MALE,RIGHT
A00037877,19,FEMALE,RIGHT
A00038115,38,FEMALE,RIGHT
A00038158,18,MALE,RIGHT
A00038159,18,MALE,RIGHT
A00038189,29,FEMALE,RIGHT
A00038285,19,MALE,RIGHT
A00038411,44,FEMALE,RIGHT
A00038414,60,FEMALE,RIGHT
A00038424,66,FEMALE,RIGHT
A00038519,78,FEMALE,RIGHT
A00038520,62,FEMALE,RIGHT
A00038522,25,MALE,RIGHT
A00038623,42,FEMALE,RIGHT
A00038642,28,MALE,RIGHT
A00038706,13,MALE,RIGHT
A00038718,21,MALE,RIGHT
A00038731,21,FEMALE,RIGHT
A00038805,70,FEMALE,RIGHT
A00038806,62,FEMALE,RIGHT
A00038817,49,FEMALE,LEFT
A00038831,23,MALE,RIGHT
A00038832,19,FEMALE,RIGHT
A00038957,50,FEMALE,RIGHT
A00038959,57,FEMALE,RIGHT
A00039040,83,FEMALE,RIGHT
A00039041,60,FEMALE,RIGHT
A00039074,47,FEMALE,RIGHT
A00039075,16,MALE,RIGHT
A00039083,79,FEMALE,RIGHT
A00039084,27,FEMALE,RIGHT
A00039118,49,FEMALE,RIGHT
A00039143,24,FEMALE,RIGHT
A00039159,18,FEMALE,RIGHT
A00039168,50,MALE,LEFT
A00039218,26,MALE,RIGHT
A00039249,52,FEMALE,RIGHT
A00039257,55,FEMALE,LEFT
A00039276,58,FEMALE,RIGHT
A00039331,59,FEMALE,RIGHT
A00039353,52,FEMALE,LEFT
A00039391,37,FEMALE,RIGHT
A00039393,49,FEMALE,LEFT
A00039431,33,FEMALE,RIGHT
A00039432,59,FEMALE,RIGHT
A00039461,45,MALE,RIGHT
A00039463,25,FEMALE,RIGHT
A00039490,71,FEMALE,RIGHT
A00039500,45,FEMALE,RIGHT
A00039559,66,MALE,RIGHT
A00039560,48,FEMALE,RIGHT
A00039593,66,FEMALE,RIGHT
A00039607,42,FEMALE,RIGHT
A00039635,53,FEMALE,RIGHT
A00039636,23,MALE,RIGHT
A00039639,71,MALE,RIGHT
A00039640,68,FEMALE,RIGHT
A00039655,69,MALE,RIGHT
A00039657,83,FEMALE,RIGHT
A00039669,61,FEMALE,RIGHT
A00039685,50,MALE,LEFT
A00039686,21,FEMALE,RIGHT
A00039699,59,MALE,RIGHT
A00039700,77,FEMALE,LEFT
A00039755,22,FEMALE,RIGHT
A00039758,66,MALE,LEFT
A00039783,74,MALE,RIGHT
A00039820,57,FEMALE,RIGHT
A00039845,72,FEMALE,RIGHT
A00039846,58,FEMALE,RIGHT
A00039866,12,FEMALE,RIGHT
A00039895,50,FEMALE,RIGHT
A00039916,72,FEMALE,RIGHT
A00039923,72,FEMALE,RIGHT
A00039951,42,MALE,RIGHT
A00039952,65,FEMALE,RIGHT
A00039966,69,FEMALE,LEFT
A00039974,60,FEMALE,LEFT
A00040116,50,FEMALE,RIGHT
A00040151,32,FEMALE,RIGHT
A00040152,76,MALE,RIGHT
A00040174,48,FEMALE,RIGHT
